Date_Time,year,month,day,hour,week,weekday,weekday_,Consumption,one_hour_before,two_hour_before,three_hour_before,1days_before,2days_before,7days_before,weather
2018-08-23 07:00:00,2018,8,23,7,33,4,1,6.04,3.24,3.74,4.74,10.48,4.44,5.88,17.8
2018-08-23 08:00:00,2018,8,23,8,33,4,1,16.19,6.04,3.24,3.74,11.72,5.2,14.44,17.2
2018-08-23 09:00:00,2018,8,23,9,33,4,1,16.96,16.19,6.04,3.24,6.92,4.88,13.0,18.0
2018-08-23 10:00:00,2018,8,23,10,33,4,1,12.59,16.96,16.19,6.04,6.25,5.18,8.6,18.0
2018-08-23 11:00:00,2018,8,23,11,33,4,1,16.95,12.59,16.96,16.19,11.37,5.78,12.65,18.4
2018-08-23 12:00:00,2018,8,23,12,33,4,1,13.22,16.95,12.59,16.96,8.38,5.55,3.72,19.6
2018-08-23 13:00:00,2018,8,23,13,33,4,1,8.66,13.22,16.95,12.59,11.26,4.84,3.43,19.9
2018-08-23 14:00:00,2018,8,23,14,33,4,1,14.61,8.66,13.22,16.95,13.59,4.67,3.77,18.6
2018-08-23 15:00:00,2018,8,23,15,33,4,1,17.94,14.61,8.66,13.22,12.94,4.55,3.58,19.8
2018-08-23 16:00:00,2018,8,23,16,33,4,1,7.72,17.94,14.61,8.66,9.67,5.62,5.34,21.2
2018-08-23 17:00:00,2018,8,23,17,33,4,1,12.95,7.72,17.94,14.61,15.5,17.95,10.6,21.0
2018-08-23 18:00:00,2018,8,23,18,33,4,1,14.32,12.95,7.72,17.94,6.65,14.0,11.71,21.1
2018-08-23 19:00:00,2018,8,23,19,33,4,1,25.69,14.32,12.95,7.72,3.48,3.59,3.38,20.4
2018-08-23 20:00:00,2018,8,23,20,33,4,1,23.62,25.69,14.32,12.95,3.51,4.0,3.25,19.6
2018-08-23 21:00:00,2018,8,23,21,33,4,1,25.8,23.62,25.69,14.32,5.33,4.83,4.43,18.8
2018-08-23 22:00:00,2018,8,23,22,33,4,1,13.95,25.8,23.62,25.69,4.97,4.82,4.76,18.2
2018-08-23 23:00:00,2018,8,23,23,33,4,1,4.47,13.95,25.8,23.62,4.59,4.57,4.58,17.8
2018-08-24 00:00:00,2018,8,24,0,33,5,1,4.33,4.47,13.95,25.8,4.63,4.61,4.41,17.1
2018-08-24 01:00:00,2018,8,24,1,33,5,1,4.46,4.33,4.47,13.95,4.66,4.71,4.43,16.3
2018-08-24 02:00:00,2018,8,24,2,33,5,1,4.39,4.46,4.33,4.47,4.68,4.69,4.44,15.8
2018-08-24 03:00:00,2018,8,24,3,33,5,1,4.34,4.39,4.46,4.33,4.7,4.76,4.33,16.1
2018-08-24 04:00:00,2018,8,24,4,33,5,1,4.36,4.34,4.39,4.46,4.74,4.77,4.14,15.4
2018-08-24 05:00:00,2018,8,24,5,33,5,1,3.43,4.36,4.34,4.39,3.74,3.54,2.94,14.9
2018-08-24 06:00:00,2018,8,24,6,33,5,1,4.83,3.43,4.36,4.34,3.24,3.55,3.07,16.0
2018-08-24 07:00:00,2018,8,24,7,33,5,1,5.74,4.83,3.43,4.36,6.04,10.48,3.05,16.8
2018-08-24 08:00:00,2018,8,24,8,33,5,1,17.96,5.74,4.83,3.43,16.19,11.72,3.33,17.8
2018-08-24 09:00:00,2018,8,24,9,33,5,1,11.73,17.96,5.74,4.83,16.96,6.92,3.29,18.1
2018-08-24 10:00:00,2018,8,24,10,33,5,1,4.17,11.73,17.96,5.74,12.59,6.25,3.28,16.9
2018-08-24 11:00:00,2018,8,24,11,33,5,1,4.21,4.17,11.73,17.96,16.95,11.37,3.29,18.4
2018-08-24 12:00:00,2018,8,24,12,33,5,1,4.06,4.21,4.17,11.73,13.22,8.38,3.3,17.2
2018-08-24 13:00:00,2018,8,24,13,33,5,1,4.44,4.06,4.21,4.17,8.66,11.26,8.5,17.7
2018-08-24 14:00:00,2018,8,24,14,33,5,1,4.11,4.44,4.06,4.21,14.61,13.59,17.9,19.1
2018-08-24 15:00:00,2018,8,24,15,33,5,1,4.21,4.11,4.44,4.06,17.94,12.94,6.04,18.9
2018-08-24 16:00:00,2018,8,24,16,33,5,1,7.29,4.21,4.11,4.44,7.72,9.67,6.09,19.0
2018-08-24 17:00:00,2018,8,24,17,33,5,1,17.8,7.29,4.21,4.11,12.95,15.5,17.81,18.1
2018-08-24 18:00:00,2018,8,24,18,33,5,1,19.78,17.8,7.29,4.21,14.32,6.65,10.05,14.7
2018-08-24 19:00:00,2018,8,24,19,33,5,1,7.97,19.78,17.8,7.29,25.69,3.48,8.45,14.0
2018-08-24 20:00:00,2018,8,24,20,33,5,1,20.07,7.97,19.78,17.8,23.62,3.51,10.66,14.0
2018-08-24 21:00:00,2018,8,24,21,33,5,1,16.84,20.07,7.97,19.78,25.8,5.33,9.39,13.1
2018-08-24 22:00:00,2018,8,24,22,33,5,1,4.72,16.84,20.07,7.97,13.95,4.97,4.87,11.9
2018-08-24 23:00:00,2018,8,24,23,33,5,1,4.63,4.72,16.84,20.07,4.47,4.59,4.79,10.9
2018-08-25 00:00:00,2018,8,25,0,33,6,1,4.78,4.63,4.72,16.84,4.33,4.63,4.65,12.3
2018-08-25 01:00:00,2018,8,25,1,33,6,1,4.75,4.78,4.63,4.72,4.46,4.66,4.56,10.8
2018-08-25 02:00:00,2018,8,25,2,33,6,1,4.86,4.75,4.78,4.63,4.39,4.68,4.59,10.6
2018-08-25 03:00:00,2018,8,25,3,33,6,1,4.83,4.86,4.75,4.78,4.34,4.7,4.64,10.6
2018-08-25 04:00:00,2018,8,25,4,33,6,1,5.1,4.83,4.86,4.75,4.36,4.74,4.29,10.2
2018-08-25 05:00:00,2018,8,25,5,33,6,1,3.76,5.1,4.83,4.86,3.43,3.74,2.98,9.7
2018-08-25 06:00:00,2018,8,25,6,33,6,1,3.48,3.76,5.1,4.83,4.83,3.24,2.91,9.1
2018-08-25 07:00:00,2018,8,25,7,33,6,1,9.61,3.48,3.76,5.1,5.74,6.04,6.28,10.1
2018-08-25 08:00:00,2018,8,25,8,33,6,1,16.41,9.61,3.48,3.76,17.96,16.19,10.32,12.0
2018-08-25 09:00:00,2018,8,25,9,33,6,1,7.68,16.41,9.61,3.48,11.73,16.96,7.23,14.1
2018-08-25 10:00:00,2018,8,25,10,33,6,1,5.06,7.68,16.41,9.61,4.17,12.59,6.12,14.9
2018-08-25 11:00:00,2018,8,25,11,33,6,1,5.31,5.06,7.68,16.41,4.21,16.95,11.66,15.9
2018-08-25 12:00:00,2018,8,25,12,33,6,1,4.55,5.31,5.06,7.68,4.06,13.22,11.72,16.8
2018-08-25 13:00:00,2018,8,25,13,33,6,1,15.14,4.55,5.31,5.06,4.44,8.66,7.95,14.0
2018-08-25 14:00:00,2018,8,25,14,33,6,1,15.39,15.14,4.55,5.31,4.11,14.61,9.14,16.8
2018-08-25 15:00:00,2018,8,25,15,33,6,1,4.84,15.39,15.14,4.55,4.21,17.94,8.8,17.1
2018-08-25 16:00:00,2018,8,25,16,33,6,1,4.4,4.84,15.39,15.14,7.29,7.72,15.77,17.2
2018-08-25 17:00:00,2018,8,25,17,33,6,1,4.31,4.4,4.84,15.39,17.8,12.95,11.37,17.2
2018-08-25 18:00:00,2018,8,25,18,33,6,1,3.51,4.31,4.4,4.84,19.78,14.32,17.52,15.4
2018-08-25 19:00:00,2018,8,25,19,33,6,1,3.66,3.51,4.31,4.4,7.97,25.69,11.95,13.5
2018-08-25 20:00:00,2018,8,25,20,33,6,1,3.6,3.66,3.51,4.31,20.07,23.62,12.29,13.2
2018-08-25 21:00:00,2018,8,25,21,33,6,1,4.95,3.6,3.66,3.51,16.84,25.8,7.27,12.3
2018-08-25 22:00:00,2018,8,25,22,33,6,1,4.82,4.95,3.6,3.66,4.72,13.95,5.12,9.2
2018-08-25 23:00:00,2018,8,25,23,33,6,1,4.83,4.82,4.95,3.6,4.63,4.47,4.89,9.5
2018-08-26 00:00:00,2018,8,26,0,34,0,1,4.14,4.83,4.82,4.95,4.78,4.33,4.04,8.3
2018-08-26 01:00:00,2018,8,26,1,34,0,1,4.84,4.14,4.83,4.82,4.75,4.46,5.06,9.5
2018-08-26 02:00:00,2018,8,26,2,34,0,1,4.91,4.84,4.14,4.83,4.86,4.39,4.85,9.5
2018-08-26 03:00:00,2018,8,26,3,34,0,1,4.93,4.91,4.84,4.14,4.83,4.34,4.91,9.6
2018-08-26 04:00:00,2018,8,26,4,34,0,1,5.06,4.93,4.91,4.84,5.1,4.36,4.72,9.8
2018-08-26 05:00:00,2018,8,26,5,34,0,1,4.27,5.06,4.93,4.91,3.76,3.43,3.29,10.2
2018-08-26 06:00:00,2018,8,26,6,34,0,1,3.57,4.27,5.06,4.93,3.48,4.83,3.27,10.6
2018-08-26 07:00:00,2018,8,26,7,34,0,1,3.69,3.57,4.27,5.06,9.61,5.74,5.53,11.1
2018-08-26 08:00:00,2018,8,26,8,34,0,1,3.92,3.69,3.57,4.27,16.41,17.96,13.27,11.0
2018-08-26 09:00:00,2018,8,26,9,34,0,1,4.45,3.92,3.69,3.57,7.68,11.73,14.21,11.6
2018-08-26 10:00:00,2018,8,26,10,34,0,1,8.44,4.45,3.92,3.69,5.06,4.17,7.14,13.8
2018-08-26 11:00:00,2018,8,26,11,34,0,1,23.54,8.44,4.45,3.92,5.31,4.21,18.45,15.4
2018-08-26 12:00:00,2018,8,26,12,34,0,1,15.67,23.54,8.44,4.45,4.55,4.06,3.75,14.6
2018-08-26 13:00:00,2018,8,26,13,34,0,1,10.77,15.67,23.54,8.44,15.14,4.44,14.22,13.1
